Programs,O_Level_Credits,A_Level_Passes,Entry Requirements,,,
"Bachelor of Arts in Geography, Environment & Development Studies",5,2,Minimum of Minimum two (2) ‘A’ Level passes in relevant subjects,"Minimum 24 points, including 5 in two subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Arts History and International Studies,5,2,Minimum of Minimum two (2) ‘A’ Level passes in relevant subjects,"Minimum 24 points, including 5 in two subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Arts Sociology & Anthropology,5,2,Minimum of Minimum two (2) ‘A’ Level passes in relevant subjects,"Minimum 24 points, including 5 in two subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Arts English Studies,5,2,Minimum of Minimum two (2) ‘A’ Level passes in relevant subjects,"Minimum 24 points, including 5 in two subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Arts Malay Language & Linguistics,5,2,Minimum two (2) ‘A’ Level passes in relevant subjects,"Minimum 24 points, including 5 in two subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Arts Malay Literature,5,2,Minimum two (2) ‘A’ Level passes in relevant subjects,"Minimum 24 points, including 5 in two subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Arts Design & Creative Industries,5,2,Minimum two (2) ‘A’ Level passes in relevant subjects,"Minimum 24 points, including 5 in two subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Science Biology,5,2,Minimum two (2) ‘A’ Level passes in including Any of the Science subject,"Minimum 24 points, including 5 in two Science subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Science Chemistry,5,2,Minimum two (2) ‘A’ Level passes in including Any of the Science subject,"Minimum 24 points, including 5 in two Science subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Science Mathematics,5,2,Minimum two (2) ‘A’ Level passes in including Any of the Science subject,"Minimum 24 points, including 5 in two Science subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Science Geology,5,2,Minimum two (2) ‘A’ Level passes in including Any of the Science subject,"Minimum 24 points, including 5 in two Science subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Science Applied Physics,5,2,Minimum two (2) ‘A’ Level passes in including Any of the Science subject,"Minimum 24 points, including 5 in two Science subjects at Higher Level",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Business Business Administration,5,2,Minimum two (2) ‘A’ Level passes Maths required,Minimum 24 points including 5 in Mathematics at Higher Level,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Business Economics,5,2,Minimum two (2) ‘A’ Level passes Maths required,Minimum 24 points including 5 in Mathematics at Higher Level,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Business Accounting & Finance,5,2,Minimum two (2) ‘A’ Level passes Maths required,Minimum 24 points including 5 in Mathematics at Higher Level,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Bachelor of Business Entrepreneurship,5,2,Minimum two (2) ‘A’ Level passes Maths required,Minimum 24 points including 5 in Mathematics at Higher Level,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B 
Bachelor of Engineering Energy Systems Engineering,5,3,Minimum of  (3) ‘A’ Level passes in relevant subjects INCLUDING Mathematics and either Physics or Chemistry,Minimum 30 points including 5 in Maths and Physics/Chemistry,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B Plus an interview
Bachelor of Engineering Information & Communication Systems Engineering,5,3,Minimum of  (3) ‘A’ Level passes in relevant subjects INCLUDING Mathematics and either Physics or Chemistry,Minimum 30 points including 5 in Maths and Physics/Chemistry,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B Plus an interview
Bachelor of Engineering Manufacturing Systems Engineering,5,3,Minimum of  (3) ‘A’ Level passes in relevant subjects INCLUDING Mathematics and either Physics or Chemistry,Minimum 30 points including 5 in Maths and Physics/Chemistry,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B Plus an interview
Bachelor of Health Science Biomedical Science,5,3,"Minimum of three (3) ‘A’ Level passes in relevant subjects INCLUDING Biology, Chemistry, Mathematics or Physics with a minimum grade of C",Minimum 30 points including 5 in relevant subjects,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B 
Bachelor of Health Science Pharmacy,5,3,Minimum of three (3) ‘A’ Level passes with minimum of Grade B for Chemistry and a minimum of Grade C in at least two (2) other science subjects,Minimum 32 points including 5 in Chemistry and two relevant subjects,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B 
Bachelor of Health Science Nursing / Midwifery,5,3,"Minimum of three (3) ‘A’ Level passes in relevant subjects INCLUDING Biology, Chemistry, Mathematics or Physics ","Minimum 26 points including 5, 5, 4 in relevant subjects",N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B Plus medical fitness and interview
Bachelor of Digital Science Computer Science,5,2,Minimum of two (2) ‘A’ Level passes  in relevant science subjects,Minimum 26 points including 5 in relevant Science subjects,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B pass an entrance examination
Bachelor of Digital Science Data Science,5,2,Minimum of two (2) ‘A’ Level passes  in relevant science subjects,Minimum 26 points including 5 in relevant Science subjects,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B pass an entrance examination
Bachelor of Digital Science AI & Robotics,5,2,Minimum of two (2) ‘A’ Level passes  in relevant science subjects,Minimum 26 points including 5 in relevant Science subjects,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B pass an entrance examination
Bachelor of Digital Science Cybersecurity & Forensics,5,2,Minimum of two (2) ‘A’ Level passes  in relevant science subjects,Minimum 26 points including 5 in relevant Science subjects,N/A,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B pass an entrance examination
Master of Business Administration,99,99,Relevant Bachelor’s Degree with Second Class Honours or equivalent,N/A,Relevant work experience for lower degrees,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Master of Business Management,99,99,Relevant Bachelor’s Degree with Second Class Honours or equivalent,N/A,Relevant work experience for lower degrees,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Master of Health Science Public Health,99,99,Relevant Bachelor’s Degree with Second Class Honours or equivalent,N/A,Relevant work experience for lower degrees,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
 Master of Science in Petroleum Geosciences,99,99,Relevant Bachelor’s Degree with Second Class Honours or equivalent,N/A,Relevant work experience for lower degrees,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Master by Research of Arts in Anthropology,99,99,Relevant Bachelor’s Degree with Second Class Honours or equivalent,N/A,Research Proposal required,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Master by Research of Science in Biodiversity,99,99,Relevant Bachelor’s Degree with Second Class Honours or equivalent,N/A,Research Proposal required,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
Ph.D. Programs Varies across fields,99,99,Master’s degree in relevant field,N/A,Strong research proposal required,Grade C6 in GCE O-Level English / IELTS 6.0 / TOEFL 550 / IGCSE B
